Anno;Sesso;Provenienza;Reato;Totale
2006;F;Paese Estero;Percosse;9
2006;F;Paese Estero;Stalking;0
2006;F;Paese Estero;Violenze Sessuali;7
2006;F;Paese Estero;Maltrattamenti;27
2007;M;Italia;Omicidi Volontari;552
2007;M;Italia;Percosse;431
2007;M;Italia;Stalking;0
2007;M;Italia;Violenze Sessuali;1081
2007;M;Italia;Maltrattamenti;1331
2007;M;Paese Estero;Omicidi Volontari;182
2007;M;Paese Estero;Percosse;45
2007;M;Paese Estero;Stalking;0
2007;M;Paese Estero;Violenze Sessuali;449
2007;M;Paese Estero;Maltrattamenti;317
2007;F;Italia;Omicidi Volontari;23
2007;F;Italia;Percosse;136
2007;F;Italia;Stalking;0
2007;F;Italia;Violenze Sessuali;11
2007;F;Italia;Maltrattamenti;43
2007;F;Paese Estero;Omicidi Volontari;10
2007;F;Paese Estero;Percosse;7
2007;F;Paese Estero;Stalking;0
2007;F;Paese Estero;Violenze Sessuali;3
2007;F;Paese Estero;Maltrattamenti;30
2008;M;Italia;Omicidi Volontari;562
2008;M;Italia;Percosse;458
2008;M;Italia;Stalking;0
2008;M;Italia;Violenze Sessuali;1041
2008;M;Italia;Maltrattamenti;1325
2008;M;Paese Estero;Omicidi Volontari;149
2008;M;Paese Estero;Percosse;53
2008;M;Paese Estero;Stalking;0
2008;M;Paese Estero;Violenze Sessuali;483
2008;M;Paese Estero;Maltrattamenti;303
2008;F;Italia;Omicidi Volontari;18
2008;F;Italia;Percosse;146
2008;F;Italia;Stalking;0
2008;F;Italia;Violenze Sessuali;14
2008;F;Italia;Maltrattamenti;53
2008;F;Paese Estero;Omicidi Volontari;2
2008;F;Paese Estero;Percosse;17
2008;F;Paese Estero;Stalking;0
2008;F;Paese Estero;Violenze Sessuali;5
2008;F;Paese Estero;Maltrattamenti;41
2009;M;Italia;Omicidi Volontari;599
2009;M;Italia;Percosse;377
2009;M;Italia;Stalking;25
2009;M;Italia;Violenze Sessuali;1583
2009;M;Italia;Maltrattamenti;1635
2009;M;Paese Estero;Omicidi Volontari;107
2009;M;Paese Estero;Percosse;55
2009;M;Paese Estero;Stalking;4
2009;M;Paese Estero;Violenze Sessuali;857
2009;M;Paese Estero;Maltrattamenti;449
2009;F;Italia;Omicidi Volontari;15
2009;F;Italia;Percosse;126
2009;F;Italia;Stalking;0
2009;F;Italia;Violenze Sessuali;32
2009;F;Italia;Maltrattamenti;50
2009;F;Paese Estero;Omicidi Volontari;8
2009;F;Paese Estero;Percosse;12
2009;F;Paese Estero;Stalking;0
2009;F;Paese Estero;Violenze Sessuali;3
2009;F;Paese Estero;Maltrattamenti;38
2010;M;Italia;Omicidi Volontari;468
2010;M;Italia;Percosse;343
2010;M;Italia;Stalking;171
2010;M;Italia;Violenze Sessuali;1069
2010;M;Italia;Maltrattamenti;1393
2010;M;Paese Estero;Omicidi Volontari;97
2010;M;Paese Estero;Percosse;61
2010;M;Paese Estero;Stalking;29
2010;M;Paese Estero;Violenze Sessuali;665
2010;M;Paese Estero;Maltrattamenti;454
2010;F;Italia;Omicidi Volontari;14
2010;F;Italia;Percosse;87
2010;F;Italia;Stalking;3
2010;F;Italia;Violenze Sessuali;18
2010;F;Italia;Maltrattamenti;59
2010;F;Paese Estero;Omicidi Volontari;11
2010;F;Paese Estero;Percosse;11
2010;F;Paese Estero;Stalking;1
2010;F;Paese Estero;Violenze Sessuali;4
2010;F;Paese Estero;Maltrattamenti;43
2011;M;Italia;Omicidi Volontari;338
2011;M;Italia;Percosse;304
2011;M;Italia;Stalking;362
2011;M;Italia;Violenze Sessuali;1045
2011;M;Italia;Maltrattamenti;1391
2011;M;Paese Estero;Omicidi Volontari;96
2011;M;Paese Estero;Percosse;68
2011;M;Paese Estero;Stalking;74
2011;M;Paese Estero;Violenze Sessuali;642
2011;M;Paese Estero;Maltrattamenti;545
2011;F;Italia;Omicidi Volontari;12
2011;F;Italia;Percosse;112
2011;F;Italia;Stalking;30
2011;F;Italia;Violenze Sessuali;16
2011;F;Italia;Maltrattamenti;49
2011;F;Paese Estero;Omicidi Volontari;3
2011;F;Paese Estero;Percosse;18
2011;F;Paese Estero;Stalking;6
2011;F;Paese Estero;Violenze Sessuali;5
2011;F;Paese Estero;Maltrattamenti;50
2012;M;Italia;Omicidi Volontari;371
2012;M;Italia;Percosse;334
2012;M;Italia;Stalking;526
2012;M;Italia;Violenze Sessuali;1048
2012;M;Italia;Maltrattamenti;1391
2012;M;Paese Estero;Omicidi Volontari;109
2012;M;Paese Estero;Percosse;60
2012;M;Paese Estero;Stalking;111
2012;M;Paese Estero;Violenze Sessuali;650
2012;M;Paese Estero;Maltrattamenti;580
2012;F;Italia;Omicidi Volontari;11
2012;F;Italia;Percosse;82
2012;F;Italia;Stalking;56
2012;F;Italia;Violenze Sessuali;11
2012;F;Italia;Maltrattamenti;54
2012;F;Paese Estero;Omicidi Volontari;2
2012;F;Paese Estero;Percosse;26
2012;F;Paese Estero;Stalking;2
2012;F;Paese Estero;Violenze Sessuali;4
2012;F;Paese Estero;Maltrattamenti;55
2013;M;Italia;Omicidi Volontari;353
2013;M;Italia;Percosse;310
2013;M;Italia;Stalking;574
2013;M;Italia;Violenze Sessuali;1053
2013;M;Italia;Maltrattamenti;1367
2013;M;Paese Estero;Omicidi Volontari;160
2013;M;Paese Estero;Percosse;63
2013;M;Paese Estero;Stalking;131
2013;M;Paese Estero;Violenze Sessuali;665
2013;M;Paese Estero;Maltrattamenti;574
2013;F;Italia;Omicidi Volontari;19
2013;F;Italia;Percosse;113
2013;F;Italia;Stalking;60
2013;F;Italia;Violenze Sessuali;22
2013;F;Italia;Maltrattamenti;25
2013;F;Paese Estero;Omicidi Volontari;3
2013;F;Paese Estero;Percosse;14
2013;F;Paese Estero;Stalking;13
2013;F;Paese Estero;Violenze Sessuali;7
2013;F;Paese Estero;Maltrattamenti;51
2014;M;Italia;Omicidi Volontari;422
2014;M;Italia;Percosse;264
2014;M;Italia;Stalking;666
2014;M;Italia;Violenze Sessuali;874
2014;M;Italia;Maltrattamenti;1344
2014;M;Paese Estero;Omicidi Volontari;159
2014;M;Paese Estero;Percosse;59
2014;M;Paese Estero;Stalking;133
2014;M;Paese Estero;Violenze Sessuali;572
2014;M;Paese Estero;Maltrattamenti;638
2014;F;Italia;Omicidi Volontari;10
2014;F;Italia;Percosse;64
2014;F;Italia;Stalking;66
2014;F;Italia;Violenze Sessuali;2
2014;F;Italia;Maltrattamenti;41
2014;F;Paese Estero;Omicidi Volontari;4
2014;F;Paese Estero;Percosse;25
2014;F;Paese Estero;Stalking;8
2014;F;Paese Estero;Violenze Sessuali;5
2014;F;Paese Estero;Maltrattamenti;49
2015;M;Italia;Omicidi Volontari;377
2015;M;Italia;Percosse;286
2015;M;Italia;Stalking;916
2015;M;Italia;Violenze Sessuali;983
2015;M;Italia;Maltrattamenti;1550
2015;M;Paese Estero;Omicidi Volontari;112
2015;M;Paese Estero;Percosse;81
2015;M;Paese Estero;Stalking;197
2015;M;Paese Estero;Violenze Sessuali;602
2015;M;Paese Estero;Maltrattamenti;762
2015;F;Italia;Omicidi Volontari;15
2015;F;Italia;Percosse;89
2015;F;Italia;Stalking;72
2015;F;Italia;Violenze Sessuali;10
2015;F;Italia;Maltrattamenti;26
2015;F;Paese Estero;Omicidi Volontari;12
2015;F;Paese Estero;Percosse;23
2015;F;Paese Estero;Stalking;17
2015;F;Paese Estero;Violenze Sessuali;5
2015;F;Paese Estero;Maltrattamenti;110
2016;M;Italia;Omicidi Volontari;435
2016;M;Italia;Percosse;281
2016;M;Italia;Stalking;1027
2016;M;Italia;Violenze Sessuali;820
2016;M;Italia;Maltrattamenti;1584
2016;M;Paese Estero;Omicidi Volontari;154
2016;M;Paese Estero;Percosse;87
2016;M;Paese Estero;Stalking;202
2016;M;Paese Estero;Violenze Sessuali;612
2016;M;Paese Estero;Maltrattamenti;845
2016;F;Italia;Omicidi Volontari;20
2016;F;Italia;Percosse;101
2016;F;Italia;Stalking;94
2016;F;Italia;Violenze Sessuali;13
2016;F;Italia;Maltrattamenti;42
2016;F;Paese Estero;Omicidi Volontari;7
2016;F;Paese Estero;Percosse;13
2016;F;Paese Estero;Stalking;20
2016;F;Paese Estero;Violenze Sessuali;4
2016;F;Paese Estero;Maltrattamenti;109
2017;M;Italia;Omicidi Volontari;475
2017;M;Italia;Percosse;310
2017;M;Italia;Stalking;1117
2017;M;Italia;Violenze Sessuali;980
2017;M;Italia;Maltrattamenti;1744
2017;M;Paese Estero;Omicidi Volontari;86
2017;M;Paese Estero;Percosse;74
2017;M;Paese Estero;Stalking;217
2017;M;Paese Estero;Violenze Sessuali;694
2017;M;Paese Estero;Maltrattamenti;795
2017;F;Italia;Omicidi Volontari;22
2017;F;Italia;Percosse;99
2017;F;Italia;Stalking;109
2017;F;Italia;Violenze Sessuali;11
2017;F;Italia;Maltrattamenti;42
2017;F;Paese Estero;Omicidi Volontari;2
2017;F;Paese Estero;Percosse;33
2017;F;Paese Estero;Stalking;25
2017;F;Paese Estero;Violenze Sessuali;8
2017;F;Paese Estero;Maltrattamenti;118
