Anno;Sesso;Provenienza;Reato;<=1 Mese;1 Mese - 3 Mesi;3 Mesi - 6 Mesi;6 Mesi - 12 Mesi;1 Anno - Anni;2 Anni - 3 Anni;3 Anni - 5 Anni;5 Anni - 10 Anni;>10 Anni
2003;F;Italia;Violenze Sessuali;0;0;1;2;7;2;6;3;2
2003;F;Italia;Maltrattamenti;1;0;23;29;12;1;0;0;0
2003;F;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;0;1;1
2003;F;Paese Estero;Percosse;1;1;0;0;0;0;0;0;0
2003;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2003;F;Paese Estero;Violenze Sessuali;0;0;0;1;0;0;2;2;0
2003;F;Paese Estero;Maltrattamenti;1;2;2;4;2;1;0;0;1
2004;M;Italia;Omicidi Volontari;1;0;0;0;3;1;7;139;626
2004;M;Italia;Percosse;28;23;4;4;0;0;0;0;0
2004;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2004;M;Italia;Violenze Sessuali;0;3;34;202;446;195;180;91;5
2004;M;Italia;Maltrattamenti;7;15;274;561;235;18;3;1;0
2004;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;1;26;103
2004;M;Paese Estero;Percosse;4;6;1;1;0;0;0;0;0
2004;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2004;M;Paese Estero;Violenze Sessuali;0;0;0;36;120;71;109;63;1
2004;M;Paese Estero;Maltrattamenti;0;2;33;76;54;4;3;0;0
2004;F;Italia;Omicidi Volontari;0;0;0;0;0;0;1;9;20
2004;F;Italia;Percosse;5;6;0;0;0;0;0;0;0
2004;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2004;F;Italia;Violenze Sessuali;0;0;1;3;4;6;3;1;1
2004;F;Italia;Maltrattamenti;0;2;14;24;9;0;0;0;0
2004;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;4
2004;F;Paese Estero;Percosse;0;1;0;0;0;0;0;0;0
2004;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2004;F;Paese Estero;Violenze Sessuali;0;0;0;0;2;0;1;0;0
2004;F;Paese Estero;Maltrattamenti;0;0;2;9;4;1;0;0;0
2005;M;Italia;Omicidi Volontari;1;0;1;1;2;0;7;120;690
2005;M;Italia;Percosse;16;21;6;2;1;1;0;0;0
2005;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2005;M;Italia;Violenze Sessuali;0;1;25;172;418;192;182;72;8
2005;M;Italia;Maltrattamenti;10;9;276;537;228;19;4;0;0
2005;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;1;1;18;80
2005;M;Paese Estero;Percosse;5;5;1;0;0;0;0;0;0
2005;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2005;M;Paese Estero;Violenze Sessuali;0;0;6;45;143;69;105;52;3
2005;M;Paese Estero;Maltrattamenti;1;3;34;82;48;3;1;1;0
2005;F;Italia;Omicidi Volontari;0;0;0;0;1;0;1;7;15
2005;F;Italia;Percosse;4;4;1;0;0;0;0;0;0
2005;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2005;F;Italia;Violenze Sessuali;0;0;0;0;7;5;7;5;1
2005;F;Italia;Maltrattamenti;1;0;18;17;10;0;1;0;0
2005;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;2;3
2005;F;Paese Estero;Percosse;1;2;0;0;0;0;0;0;0
2005;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2005;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;1;2;0;0
2005;F;Paese Estero;Maltrattamenti;0;0;2;8;7;0;0;0;0
2006;M;Italia;Omicidi Volontari;1;0;0;1;1;8;6;63;530
2006;M;Italia;Percosse;19;15;5;2;0;0;0;0;0
2006;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2006;M;Italia;Violenze Sessuali;0;5;22;162;406;136;147;92;8
2006;M;Italia;Maltrattamenti;7;7;219;526;221;19;6;1;0
2006;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;3;24;96
2006;M;Paese Estero;Percosse;1;5;3;0;1;0;0;0;0
2006;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2006;M;Paese Estero;Violenze Sessuali;0;0;1;44;151;52;118;57;6
2006;M;Paese Estero;Maltrattamenti;0;2;36;90;66;6;0;0;0
2006;F;Italia;Omicidi Volontari;0;0;0;0;0;0;2;4;14
2006;F;Italia;Percosse;3;2;0;0;0;0;0;0;0
2006;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2006;F;Italia;Violenze Sessuali;0;0;0;0;4;3;4;4;1
2006;F;Italia;Maltrattamenti;1;0;11;26;7;0;0;0;0
2006;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;1;3
2006;F;Paese Estero;Percosse;2;0;0;0;0;0;0;0;0
2006;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2006;F;Paese Estero;Violenze Sessuali;0;0;0;3;1;0;1;2;0
2006;F;Paese Estero;Maltrattamenti;0;0;4;11;5;1;0;0;0
2007;M;Italia;Omicidi Volontari;0;0;0;0;5;3;8;85;451
2007;M;Italia;Percosse;16;22;5;2;0;0;0;0;0
2007;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2007;M;Italia;Violenze Sessuali;0;3;12;197;437;154;178;95;5
2007;M;Italia;Maltrattamenti;3;8;250;697;347;25;8;1;0
2007;M;Paese Estero;Omicidi Volontari;0;0;0;1;2;0;1;31;147
2007;M;Paese Estero;Percosse;2;1;2;0;0;1;0;0;0
2007;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2007;M;Paese Estero;Violenze Sessuali;0;1;6;43;164;60;95;72;8
2007;M;Paese Estero;Maltrattamenti;1;1;47;146;97;10;1;1;0
2007;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;12;11
2007;F;Italia;Percosse;6;3;2;0;0;0;0;0;0
2007;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2007;F;Italia;Violenze Sessuali;0;0;0;2;2;1;2;4;0
2007;F;Italia;Maltrattamenti;0;0;15;26;8;2;1;0;0
2007;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;1;3;6
2007;F;Paese Estero;Percosse;0;1;0;0;0;0;0;0;0
2007;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2007;F;Paese Estero;Violenze Sessuali;0;0;0;1;0;1;1;0;0
2007;F;Paese Estero;Maltrattamenti;0;0;3;9;8;1;0;0;0
2008;M;Italia;Omicidi Volontari;0;0;0;1;4;4;2;64;487
2008;M;Italia;Percosse;11;16;1;1;0;0;0;0;0
2008;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2008;M;Italia;Violenze Sessuali;0;1;13;157;407;122;196;141;3
2008;M;Italia;Maltrattamenti;3;12;171;686;394;58;10;1;1
2008;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;1;2;14;132
2008;M;Paese Estero;Percosse;3;1;0;0;0;2;0;0;0
2008;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2008;M;Paese Estero;Violenze Sessuali;0;0;6;42;153;84;117;78;3
2008;M;Paese Estero;Maltrattamenti;0;1;29;138;103;11;1;0;0
2008;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;2;16
2008;F;Italia;Percosse;2;1;0;0;0;0;0;0;0
2008;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2008;F;Italia;Violenze Sessuali;0;0;0;1;1;4;4;4;0
2008;F;Italia;Maltrattamenti;0;0;23;31;20;0;1;0;0
2008;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;2;0
2008;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2008;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2008;F;Paese Estero;Violenze Sessuali;0;0;0;0;1;2;2;0;0
2008;F;Paese Estero;Maltrattamenti;0;0;3;12;2;1;0;0;0
2009;M;Italia;Omicidi Volontari;0;0;0;0;2;2;4;50;541
2009;M;Italia;Percosse;10;12;6;3;0;0;0;0;0
2009;M;Italia;Stalking;0;1;10;9;4;0;0;0;0
2009;M;Italia;Violenze Sessuali;0;3;15;169;575;224;341;241;13
2009;M;Italia;Maltrattamenti;4;14;197;776;559;67;17;3;1
2009;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;3;8;96
2009;M;Paese Estero;Percosse;2;3;4;0;0;0;0;0;0
2009;M;Paese Estero;Stalking;0;1;1;1;1;0;0;0;0
2009;M;Paese Estero;Violenze Sessuali;0;1;7;39;228;140;241;183;17
2009;M;Paese Estero;Maltrattamenti;0;4;43;208;149;30;4;2;0
2009;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;5;10
2009;F;Italia;Percosse;1;1;2;0;0;0;0;0;0
2009;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2009;F;Italia;Violenze Sessuali;0;0;0;2;5;7;8;10;0
2009;F;Italia;Maltrattamenti;0;1;10;26;22;5;1;0;0
2009;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;2;6
2009;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2009;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2009;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;0;1;1;1
2009;F;Paese Estero;Maltrattamenti;0;0;2;11;4;2;4;0;0
2010;M;Italia;Omicidi Volontari;0;0;0;0;6;0;4;52;406
2010;M;Italia;Percosse;7;8;5;2;0;0;0;0;0
2010;M;Italia;Stalking;0;5;43;74;47;2;0;0;0
2010;M;Italia;Violenze Sessuali;0;3;11;132;409;133;199;163;19
2010;M;Italia;Maltrattamenti;2;13;168;646;501;53;15;3;0
2010;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;6;91
2010;M;Paese Estero;Percosse;3;2;0;0;0;0;0;0;0
2010;M;Paese Estero;Stalking;1;1;8;12;7;0;0;0;0
2010;M;Paese Estero;Violenze Sessuali;0;2;1;37;207;93;174;139;12
2010;M;Paese Estero;Maltrattamenti;0;3;49;183;165;32;7;1;0
2010;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;5;9
2010;F;Italia;Percosse;2;2;0;0;0;0;0;0;0
2010;F;Italia;Stalking;0;0;1;2;0;0;0;0;0
2010;F;Italia;Violenze Sessuali;0;0;0;0;6;2;5;5;0
2010;F;Italia;Maltrattamenti;0;0;8;35;22;3;0;2;0
2010;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;4;7
2010;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2010;F;Paese Estero;Stalking;0;0;0;0;1;0;0;0;0
2010;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;1;1;2;0
2010;F;Paese Estero;Maltrattamenti;0;0;9;11;7;2;0;1;0
2011;M;Italia;Omicidi Volontari;0;0;0;0;2;0;2;37;297
2011;M;Italia;Percosse;6;6;6;2;0;0;0;0;0
2011;M;Italia;Stalking;1;12;90;146;94;10;4;2;0
2011;M;Italia;Violenze Sessuali;0;4;14;118;442;119;179;148;20
2011;M;Italia;Maltrattamenti;2;13;147;648;525;60;10;2;1
2011;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;1;10;85
2011;M;Paese Estero;Percosse;1;4;3;0;1;0;0;0;0
2011;M;Paese Estero;Stalking;1;3;13;32;21;2;0;0;0
2011;M;Paese Estero;Violenze Sessuali;0;2;5;31;219;97;134;132;22
2011;M;Paese Estero;Maltrattamenti;1;2;46;225;206;36;8;1;0
